==============================================
  Session: Session 01
  Started: 2026-05-12 09:47:06
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        81.7     733.7    55.3     1.02     0.226        0.818
00:02:01   DATA               Normal      Medium     0.498    87.9     712.5    41.9     1.82     0.108        0.823
00:02:02   LEVEL Medium>High  Normal      High       0.508    88.9     707.3    42.2     1.43     0.118        0.804
00:02:02   DATA               Normal      High       0.508    88.9     707.3    42.2     1.43     0.118        0.804
00:02:03   DATA               Normal      High       0.514    87.8     718.3    42.1     1.24     0.107        0.781
00:02:04   DATA               Normal      High       0.558    83.4     719.9    37.1     1.17     0.214        0.759
00:02:05   DATA               Normal      High       0.517    79.3     718.1    49.1     1.72     0.214        0.748
00:02:06   DATA               Normal      High       0.509    77.9     722.4    42.8     2.16     0.213        0.746
00:02:07   LEVEL High>Medium  Normal      Medium     0.442    78.7     728.5    50.4     3.64     0.317        0.755
00:02:07   DATA               Normal      Medium     0.442    78.7     728.5    50.4     3.64     0.317        0.755
00:02:08   DATA               Normal      Medium     0.413    80.8     729.9    45.8     2.68     0.316        0.762
00:02:09   DATA               Normal      Medium     0.363    83.4     708.6    43.2     0.89     0.217        0.769
00:02:10   DATA               Normal      Medium     0.313    85.5     707.5    57.2     0.71     0.326        0.783
00:02:11   LEVEL Medium>Low   Normal      Low        0.212    86.8     695.3    58.9     0.56     0.332        0.800
00:02:11   DATA               Normal      Low        0.212    86.8     695.3    58.9     0.56     0.332        0.800
00:02:12   DATA               Normal      Low        0.227    87.2     695.3    48.7     0.31     0.332        0.817
00:02:13   DATA               Normal      Low        0.232    86.9     693.4    45.2     0.99     0.333        0.833
00:02:14   DATA               Normal      Low        0.134    86.3     701.5    58.8     2.39     0.204        0.848
00:02:15   DATA               Normal      Low        0.134    85.7     712.1    55.9     5.94     0.216        0.854
00:02:16   DATA               Normal      Low        0.145    84.9     699.0    54.0     1.44     0.220        0.855
00:02:17   DATA               Normal      Low        0.118    83.7     705.4    52.0     1.19     0.218        0.852
00:02:18   DATA               Normal      Low        0.066    82.5     699.3    51.7     0.21     0.220        0.847
00:02:19   DATA               Normal      Low        0.130    82.3     702.2    47.4     0.68     0.219        0.848
00:02:21   DATA               Normal      Low        0.186    83.6     702.3    48.3     1.35     0.219        0.848
00:02:22   DATA               Normal      Low        0.234    86.4     699.9    48.0     2.50     0.110        0.846
00:02:23   LEVEL Low>Medium   Normal      Medium     0.356    88.2     701.9    36.8     7.17     0.329        0.845
00:02:23   DATA               Normal      Medium     0.356    88.2     701.9    36.8     7.17     0.329        0.845
00:02:24   LEVEL Medium>High  Normal      High       0.509    88.7     698.0    32.7     2.66     0.102        0.851
00:02:24   DATA               Normal      High       0.509    88.7     698.0    32.7     2.66     0.102        0.851
00:02:25   DATA               Normal      High       0.634    87.9     692.2    32.0     1.77     0.111        0.857
00:02:26   DATA               Normal      High       0.778    86.6     690.8    30.1     1.46     0.207        0.866
00:02:27   DATA               Normal      High       0.919    85.6     692.8    30.3     1.06     0.222        0.877
00:02:28   DATA               Normal      High       0.932    84.9     687.3    35.3     2.97     0.208        0.885
