==============================================
  Session: Session 01
  Started: 2026-05-11 13:29:23
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        84.0     724.8    58.7     1.43     0.223        0.728
00:02:01   DATA               Normal      High       1.000    82.8     733.2    34.2     0.68     0.124        0.812
00:02:02   DATA               Normal      High       1.000    81.2     739.2    34.5     1.22     0.113        0.821
00:02:03   DATA               Normal      High       0.515    80.0     747.7    62.9     0.27     0.206        0.832
00:02:04   DATA               Normal      High       0.515    80.0     747.7    62.9     0.27     0.206        0.832
00:02:05   LEVEL High>Medium  Normal      Medium     0.432    79.4     760.7    56.7     0.24     0.219        0.840
00:02:05   DATA               Normal      Medium     0.432    79.4     760.7    56.7     0.24     0.219        0.840
00:02:06   LEVEL Medium>Low   Normal      Low        0.048    77.6     753.1    58.7     0.16     0.221        0.852
00:02:06   DATA               Normal      Low        0.048    77.6     753.1    58.7     0.16     0.221        0.852
00:02:07   DATA               Normal      Low        0.036    77.8     750.3    60.2     0.07     0.205        0.849
00:02:08   DATA               Normal      Low        0.036    77.8     750.3    60.2     0.07     0.205        0.849
00:02:09   DATA               Normal      Low        0.055    77.9     735.4    56.8     0.47     0.209        0.831
00:02:10   DATA               Normal      Low        0.038    80.5     727.3    58.3     2.21     0.115        0.808
00:02:11   DATA               Normal      Low        0.023    86.1     719.9    63.1     1.49     0.116        0.780
00:02:12   DATA               Normal      Low        0.023    87.1     711.7    71.7     0.32     0.216        0.763
00:02:13   DATA               Normal      Low        0.023    83.5     707.4    67.8     1.07     0.326        0.761
00:02:14   DATA               Normal      Low        0.004    82.0     709.4    63.4     0.48     0.434        0.763
00:02:15   DATA               Normal      Low        0.000    83.7     687.8    63.2     6.08     0.224        0.764
00:02:16   DATA               Normal      Low        0.000    86.8     710.3    66.4     1.61     0.108        0.757
00:02:17   DATA               Normal      Low        0.000    91.5     716.7    71.5     0.76     0.215        0.724
00:02:18   DATA               Normal      Low        0.000    93.9     720.8    77.8     0.77     0.214        0.672
00:02:19   DATA               Normal      Low        0.000    72.7     739.1    87.2     0.64     0.208        0.632
00:02:20   DATA               Normal      Low        0.000    74.8     768.9    82.5     0.75     0.217        0.623
00:02:21   DATA               Normal      Low        0.000    78.3     759.8    71.9     0.27     0.220        0.634
00:02:22   DATA               Normal      Low        0.000    80.2     707.8    69.6     1.49     0.326        0.659
00:02:23   DATA               Normal      Low        0.031    83.6     699.4    55.6     0.93     0.330        0.701
00:02:24   DATA               Normal      Low        0.079    87.3     687.9    54.0     0.52     0.224        0.747
00:02:25   DATA               Normal      Low        0.165    91.3     678.1    50.3     1.12     0.105        0.772
00:02:26   LEVEL Low>Medium   Normal      Medium     0.275    90.7     675.1    47.9     0.58     0.342        0.793
00:02:26   DATA               Normal      Medium     0.275    90.7     675.1    47.9     0.58     0.342        0.793
00:02:27   DATA               Normal      Medium     0.394    87.8     682.0    47.0     0.76     0.339        0.812
00:02:28   DATA               Normal      Medium     0.466    85.7     696.6    48.5     1.15     0.308        0.830
00:02:29   LEVEL Medium>High  Normal      High       0.619    84.8     715.4    35.5     0.56     0.323        0.838
