==============================================
  Session: Session 01
  Started: 2026-05-08 13:26:52
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        91.1     666.8    55.2     1.37     0.262        0.765
00:02:01   DATA               Normal      High       1.000    93.2     639.2    36.2     3.21     0.447        0.808
00:02:02   DATA               Normal      High       0.637    89.7     657.6    53.5     4.65     0.326        0.809
00:02:03   LEVEL High>Medium  Normal      Medium     0.485    89.0     652.3    54.7     5.95     0.236        0.812
00:02:03   DATA               Normal      Medium     0.485    89.0     652.3    54.7     5.95     0.236        0.812
00:02:04   DATA               Normal      Medium     0.400    88.8     646.5    54.2     0.41     0.413        0.804
00:02:05   DATA               Normal      Medium     0.400    88.8     646.5    54.2     0.41     0.413        0.804
00:02:06   DATA               Normal      Medium     0.255    89.4     645.3    50.6     1.21     0.111        0.792
00:02:07   LEVEL Medium>Low   Normal      Low        0.093    91.3     647.0    69.3     1.02     0.110        0.778
00:02:07   DATA               Normal      Low        0.093    91.3     647.0    69.3     1.02     0.110        0.778
00:02:08   DATA               Normal      Low        0.073    95.1     645.8    66.1     0.62     0.111        0.757
00:02:09   DATA               Normal      Low        0.067    97.6     648.4    68.0     0.16     0.220        0.735
00:02:10   DATA               Normal      Low        0.056    97.4     663.2    65.9     1.39     0.215        0.713
00:02:11   DATA               Normal      Low        0.000    94.4     655.1    63.8     0.90     0.305        0.697
00:02:12   DATA               Normal      Low        0.000    86.5     692.5    55.5     0.98     0.333        0.659
00:02:13   DATA               Normal      Low        0.000    83.6     699.3    55.5     0.59     0.330        0.664
00:02:14   DATA               Normal      Low        0.000    81.2     722.9    57.8     0.46     0.213        0.699
00:02:15   DATA               Normal      Low        0.009    80.0     730.3    54.4     1.12     0.114        0.732
00:02:16   DATA               Normal      Low        0.046    80.3     727.6    52.1     0.89     0.106        0.773
00:02:17   DATA               Normal      Low        0.128    81.2     724.9    48.4     2.07     0.230        0.801
00:02:18   LEVEL Low>Medium   Normal      Medium     0.278    82.4     701.6    42.8     1.27     0.329        0.803
00:02:18   DATA               Normal      Medium     0.278    82.4     701.6    42.8     1.27     0.329        0.803
00:02:19   DATA               Normal      Medium     0.351    83.7     690.5    49.1     1.29     0.207        0.783
00:02:20   DATA               Normal      Medium     0.440    85.9     674.5    47.0     1.79     0.228        0.770
00:02:21   LEVEL Medium>High  Normal      High       0.510    89.4     662.1    46.3     2.75     0.216        0.758
00:02:21   DATA               Normal      High       0.510    89.4     662.1    46.3     2.75     0.216        0.758
00:02:22   LEVEL High>Medium  Normal      Medium     0.446    93.1     648.8    53.7     2.93     0.103        0.752
00:02:22   DATA               Normal      Medium     0.446    93.1     648.8    53.7     2.93     0.103        0.752
00:02:23   DATA               Normal      Medium     0.446    93.1     648.8    53.7     2.93     0.103        0.752
00:02:24   DATA               Normal      Medium     0.338    95.8     638.4    50.5     3.62     0.105        0.781
00:02:25   DATA               Normal      Medium     0.338    95.8     638.4    50.5     3.62     0.105        0.781
00:02:26   LEVEL Medium>Low   Normal      Low        0.212    93.6     640.6    56.0     3.82     0.104        0.801
