==============================================
  Session: Session 33
  Started: 2026-05-04 10:56:00
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:01:59   BASELINE END       –          –        80.0     771.8    62.6     2.03     0.159        0.689
00:02:00   DATA               Medium     0.351    83.9     788.8    53.5     6.46     0.282        0.674
00:02:01   DATA               Medium     0.402    80.5     768.6    48.3     4.09     0.077        0.685
00:02:02   DATA               Medium     0.402    80.5     768.6    48.3     4.09     0.077        0.685
00:02:03   DATA               Medium     0.335    81.4     762.6    59.1     3.66     0.219        0.684
00:02:04   DATA               Medium     0.288    84.5     759.5    60.0     2.93     0.146        0.679
00:02:05   LEVEL Medium>Low   Low        0.225    84.5     742.8    61.6     2.96     0.150        0.669
00:02:05   DATA               Low        0.225    84.5     742.8    61.6     2.96     0.150        0.669
00:02:06   DATA               Low        0.187    79.8     738.2    59.6     2.40     0.169        0.654
00:02:07   DATA               Low        0.091    79.0     738.4    60.8     2.73     0.169        0.626
00:02:08   DATA               Low        0.067    83.6     729.2    62.2     2.66     0.081        0.608
00:02:09   DATA               Low        0.050    72.0     734.0    62.2     2.07     0.256        0.600
00:02:10   DATA               Low        0.050    72.0     734.0    62.2     2.07     0.256        0.600
00:02:11   DATA               Low        0.050    72.0     734.0    62.2     2.07     0.256        0.600
00:02:12   DATA               Low        0.050    72.0     734.0    62.2     2.07     0.256        0.600
00:02:13   DATA               Low        0.042    84.9     690.7    69.0     0.92     0.256        0.608
00:02:14   DATA               Low        0.019    86.3     675.4    64.6     0.04     0.329        0.620
00:02:15   DATA               Low        0.006    87.3     674.5    65.9     0.36     0.262        0.644
00:02:16   DATA               Low        0.003    89.9     663.3    62.6     9.38     0.355        0.670
00:02:17   DATA               Low        0.000    90.8     681.3    69.8     5.48     0.163        0.696
00:02:18   DATA               Low        0.000    90.0     685.4    69.2     0.53     0.162        0.708
00:02:19   DATA               Low        0.000    89.1     709.3    74.3     1.40     0.223        0.703
00:02:20   DATA               Low        0.000    88.6     709.6    77.6     1.38     0.282        0.694
00:02:21   DATA               Low        0.000    89.5     716.4    73.2     1.37     0.279        0.689
00:02:22   DATA               Low        0.000    91.2     713.3    79.2     1.24     0.234        0.687
00:02:24   DATA               Low        0.000    77.7     723.4    85.6     1.06     0.218        0.682
00:02:25   DATA               Low        0.000    79.0     732.0    85.2     1.24     0.216        0.680
00:02:26   DATA               Low        0.000    79.0     744.0    89.4     0.75     0.224        0.686
00:02:27   DATA               Low        0.000    78.8     754.1    81.4     0.91     0.147        0.701
00:02:28   DATA               Low        0.000    79.0     753.7    85.4     0.91     0.148        0.725
00:02:29   DATA               Low        0.000    80.2     743.4    88.4     1.84     0.299        0.745
00:02:30   DATA               Low        0.000    81.0     748.1    86.2     0.29     0.315        0.759
00:02:31   DATA               Low        0.000    81.3     727.2    81.9     0.33     0.306        0.765
00:02:32   DATA               Low        0.000    81.1     712.4    75.7     1.40     0.312        0.759
00:02:33   DATA               Low        0.000    81.3     702.1    80.3     1.25     0.300        0.749
