==============================================
  Session: Session 03
  Started: 2026-05-07 15:08:38
==============================================

Time       Event              Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:02:00   BASELINE END       –          –        79.6     769.4    51.7     1.19     0.194        0.714
00:02:11   DATA               Low        0.000    65.7     874.8    78.8     1.39     0.343        0.610
00:02:12   DATA               Low        0.000    64.1     880.6    72.3     1.48     0.103        0.664
00:02:13   DATA               Low        0.000    64.3     884.4    72.7     1.24     0.113        0.723
00:02:14   DATA               Low        0.000    66.1     879.6    75.6     2.00     0.114        0.751
00:02:15   DATA               Low        0.000    68.3     848.0    69.3     3.67     0.215        0.742
00:02:16   DATA               Low        0.000    70.4     828.3    54.0     2.07     0.220        0.739
00:02:17   DATA               Low        0.008    72.5     818.7    50.4     1.22     0.222        0.739
00:02:18   DATA               Low        0.026    74.9     811.3    48.5     1.71     0.224        0.742
00:02:19   DATA               Low        0.069    76.8     804.1    44.3     0.29     0.207        0.761
00:02:20   DATA               Low        0.138    77.0     799.5    39.8     0.46     0.228        0.801
00:02:21   DATA               Low        0.159    76.1     796.6    48.2     0.88     0.114        0.827
00:02:22   DATA               Low        0.156    74.7     784.3    50.9     1.34     0.319        0.846
00:02:23   DATA               Low        0.234    73.7     798.5    35.1     1.70     0.313        0.855
00:02:24   LEVEL Low>Medium   Medium     0.387    73.6     817.7    17.9     0.19     0.222        0.860
00:02:24   DATA               Medium     0.387    73.6     817.7    17.9     0.19     0.222        0.860
00:02:25   DATA               Medium     0.340    73.7     815.5    47.9     0.47     0.112        0.862
00:02:26   DATA               Medium     0.321    73.6     820.7    51.4     0.37     0.111        0.865
00:02:27   DATA               Medium     0.316    73.2     810.4    53.4     0.40     0.206        0.866
00:02:28   LEVEL Medium>Low   Low        0.220    72.7     806.3    55.1     0.21     0.226        0.867
00:02:28   DATA               Low        0.220    72.7     806.3    55.1     0.21     0.226        0.867
00:02:29   DATA               Low        0.023    72.9     808.9    55.6     0.58     0.337        0.868
00:02:30   DATA               Low        0.002    73.9     808.1    64.7     0.57     0.103        0.865
00:02:31   DATA               Low        0.000    75.0     811.0    66.2     0.66     0.112        0.864
00:02:32   DATA               Low        0.000    75.2     811.7    65.8     2.34     0.224        0.865
00:02:33   DATA               Low        0.000    74.7     807.3    51.8     0.40     0.225        0.866
00:02:34   DATA               Low        0.017    73.7     801.1    48.7     0.10     0.227        0.868
00:02:35   DATA               Low        0.032    73.1     807.2    49.1     0.24     0.225        0.873
00:02:36   DATA               Low        0.071    72.9     815.5    45.0     0.06     0.335        0.877
00:02:37   DATA               Low        0.086    73.1     799.5    49.2     3.57     0.313        0.874
00:02:38   DATA               Low        0.211    73.3     801.5    30.2     0.92     0.104        0.874
00:02:39   LEVEL Low>Medium   Medium     0.296    74.2     797.6    34.0     1.05     0.228        0.873
00:02:39   DATA               Medium     0.296    74.2     797.6    34.0     1.05     0.228        0.873
00:02:40   DATA               Medium     0.385    75.5     800.3    33.8     0.70     0.250        0.864
00:02:41   DATA               Medium     0.437    76.9     796.7    36.1     0.94     0.251        0.849
00:02:42   DATA               Medium     0.460    77.0     779.7    45.3     0.54     0.233        0.838
00:02:43   DATA               Medium     0.380    75.2     768.2    43.9     0.44     0.260        0.823
00:02:44   DATA               Medium     0.334    72.7     763.5    41.8     0.27     0.119        0.807
00:02:45   LEVEL Medium>Low   Low        0.237    72.4     755.8    50.5     0.54     0.120        0.798
00:02:45   DATA               Low        0.237    72.4     755.8    50.5     0.54     0.120        0.798
00:02:46   DATA               Low        0.248    75.0     782.3    34.2     0.41     0.142        0.788
00:02:47   LEVEL Low>Medium   Medium     0.295    78.8     782.8    37.1     1.25     0.142        0.779
00:02:47   DATA               Medium     0.295    78.8     782.8    37.1     1.25     0.142        0.779
00:02:48   DATA               Medium     0.250    80.3     791.4    80.2     1.50     0.281        0.753
00:02:49   LEVEL Medium>Low   Low        0.193    79.7     795.4    96.5     0.90     0.114        0.723
00:02:49   DATA               Low        0.193    79.7     795.4    96.5     0.90     0.114        0.723
00:02:50   DATA               Low        0.186    77.8     798.1    83.7     1.10     0.279        0.684
00:02:51   DATA               Low        0.085    72.7     795.0    118.0    0.29     0.157        0.633
00:02:52   DATA               Low        0.085    72.7     795.0    118.0    0.29     0.157        0.633
----------------------------------------------------------------------------------------------------
Session ended: 2026-05-07 15:11:32
Total entries logged: 42
