==============================================
  Session: Session 01
  Started: 2026-05-12 14:36:50
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        91.4     652.0    41.8     0.52     0.222        0.784
00:02:01   DATA               Normal      Low        0.000    93.2     654.8    52.5     0.10     0.353        0.866
00:02:02   DATA               Normal      Low        0.000    93.2     654.8    52.5     0.10     0.353        0.866
00:02:03   DATA               Normal      Low        0.000    93.1     641.9    46.2     0.06     0.240        0.862
00:02:04   DATA               Normal      Low        0.000    92.7     654.3    49.6     0.88     0.353        0.858
00:02:05   DATA               Normal      Low        0.025    91.9     656.7    40.2     0.59     0.234        0.857
00:02:06   DATA               Normal      Low        0.026    91.0     659.1    41.7     1.00     0.234        0.856
00:02:07   DATA               Normal      Low        0.041    89.9     658.7    40.8     1.29     0.117        0.855
00:02:08   DATA               Normal      Low        0.041    88.7     658.6    42.1     4.35     0.234        0.853
00:02:09   DATA               Normal      Low        0.041    88.0     660.9    48.3     0.64     0.116        0.851
00:02:10   DATA               Normal      Low        0.068    87.7     666.7    38.4     1.41     0.107        0.852
00:02:11   LEVEL Low>Medium   Normal      Medium     0.267    87.8     663.7    25.1     1.27     0.108        0.851
00:02:11   DATA               Normal      Medium     0.267    87.8     663.7    25.1     1.27     0.108        0.851
00:02:12   DATA               Normal      Medium     0.287    88.4     669.1    39.5     1.35     0.107        0.852
00:02:13   DATA               Normal      Medium     0.487    89.2     657.8    25.4     1.74     0.234        0.855
00:02:14   DATA               Normal      Medium     0.487    90.4     662.0    44.4     1.67     0.108        0.854
00:02:15   DATA               Normal      Medium     0.435    91.3     658.9    47.1     1.21     0.108        0.850
00:02:16   LEVEL Medium>Low   Normal      Low        0.235    91.9     657.2    48.4     0.97     0.203        0.848
00:02:16   DATA               Normal      Low        0.235    91.9     657.2    48.4     0.97     0.203        0.848
00:02:17   DATA               Normal      Low        0.200    92.4     649.2    46.9     1.35     0.103        0.846
00:02:18   DATA               Normal      Low        0.000    92.8     648.4    48.4     0.03     0.206        0.850
00:02:20   DATA               Normal      Low        0.000    92.9     639.3    51.4     0.42     0.224        0.855
00:02:21   DATA               Normal      Low        0.000    93.0     642.9    50.6     0.32     0.222        0.863
00:02:22   DATA               Normal      Low        0.000    93.2     639.4    48.9     0.27     0.209        0.873
00:02:23   DATA               Normal      Low        0.000    93.3     636.8    47.4     0.47     0.210        0.883
00:02:24   DATA               Normal      Low        0.000    93.7     635.9    46.8     0.29     0.210        0.887
00:02:25   DATA               Normal      Low        0.000    94.1     638.0    47.8     0.24     0.314        0.892
00:02:26   DATA               Normal      Low        0.000    94.4     638.0    49.4     1.78     0.224        0.895
00:02:27   DATA               Normal      Low        0.000    94.8     637.4    48.2     0.96     0.314        0.893
00:02:28   DATA               Normal      Low        0.000    95.0     644.5    51.1     2.72     0.222        0.887
00:02:29   DATA               Normal      Low        0.000    95.0     636.5    44.3     0.32     0.337        0.882
00:02:30   DATA               Normal      Low        0.073    94.9     622.0    37.0     0.79     0.247        0.877
00:02:31   DATA               Normal      Low        0.073    94.5     620.2    44.7     0.37     0.346        0.871
