==============================================
  Session: Session 01
  Started: 2026-05-07 14:43:53
==============================================

Time       Event              Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:01:59   BASELINE END       –          –        75.0     788.1    66.5     1.28     0.206        0.756
00:02:00   DATA               High       0.732    93.2     636.9    40.3     0.26     0.224        0.750
00:02:01   DATA               High       0.650    94.8     636.0    46.2     0.81     0.242        0.792
00:02:02   DATA               High       0.582    95.4     642.7    50.5     0.19     0.222        0.809
00:02:03   DATA               High       0.554    95.1     663.9    49.6     2.83     0.215        0.794
00:02:04   DATA               High       0.612    93.7     623.4    36.4     0.89     0.268        0.763
00:02:05   DATA               High       0.557    91.3     685.6    50.1     1.23     0.225        0.719
00:02:06   LEVEL High>Medium  Medium     0.460    88.1     727.6    63.5     1.02     0.229        0.664
00:02:06   DATA               Medium     0.460    88.1     727.6    63.5     1.02     0.229        0.664
00:02:07   DATA               Medium     0.371    81.7     733.3    67.8     1.15     0.227        0.615
00:02:08   DATA               Medium     0.371    81.7     733.3    67.8     1.15     0.227        0.615
00:02:09   DATA               Medium     0.371    81.7     733.3    67.8     1.15     0.227        0.615
00:02:10   DATA               Medium     0.371    81.7     733.3    67.8     1.15     0.227        0.615
00:02:11   DATA               Medium     0.276    72.1     790.5    74.5     0.64     0.230        0.625
00:02:12   LEVEL Medium>Low   Low        0.108    76.1     777.2    78.1     0.76     0.234        0.658
00:02:12   DATA               Low        0.108    76.1     777.2    78.1     0.76     0.234        0.658
00:02:13   DATA               Low        0.016    80.2     793.0    75.5     0.75     0.105        0.682
00:02:14   DATA               Low        0.018    80.6     793.4    63.2     3.08     0.105        0.704
00:02:16   DATA               Low        0.031    79.4     774.3    64.3     1.11     0.108        0.723
00:02:17   DATA               Low        0.031    76.9     776.5    73.2     1.10     0.351        0.737
00:02:18   DATA               Low        0.031    74.8     808.2    85.6     0.48     0.113        0.740
00:02:19   DATA               Low        0.031    73.9     814.0    95.6     0.24     0.123        0.734
00:02:20   DATA               Low        0.013    73.0     854.3    92.2     0.41     0.213        0.730
00:02:21   DATA               Low        0.000    70.7     853.5    93.4     0.56     0.213        0.714
00:02:22   DATA               Low        0.000    66.9     855.7    95.7     1.50     0.117        0.692
00:02:23   DATA               Low        0.000    64.8     838.4    91.7     0.73     0.109        0.677
00:02:24   DATA               Low        0.000    65.7     829.5    92.3     1.67     0.121        0.662
00:02:25   DATA               Low        0.000    70.1     831.0    89.3     1.72     0.109        0.642
00:02:26   DATA               Low        0.000    75.1     833.3    76.1     1.43     0.218        0.623
00:02:27   DATA               Low        0.000    77.6     775.0    79.1     2.95     0.184        0.627
00:02:28   DATA               Low        0.000    78.1     812.2    68.6     2.15     0.224        0.643
00:02:29   DATA               Low        0.045    76.5     815.2    58.5     0.77     0.223        0.665
00:02:30   DATA               Low        0.082    73.2     827.2    59.8     0.90     0.220        0.695
00:02:31   DATA               Low        0.104    69.9     841.5    62.5     2.47     0.216        0.719
00:02:32   DATA               Low        0.177    68.3     828.4    53.5     4.97     0.242        0.718
