==============================================
  Session: Session 01
  Started: 2026-05-12 11:07:10
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        56.4     1064.6   73.9     0.70     0.221        0.834
00:02:01   DATA               Normal      Low        0.000    58.1     1011.3   125.5    0.07     0.330        0.827
00:02:02   DATA               Normal      Low        0.000    58.7     1014.5   99.1     0.60     0.219        0.815
00:02:03   DATA               Normal      Low        0.000    59.2     1010.2   102.4    0.13     0.330        0.813
00:02:04   DATA               Normal      Low        0.000    59.2     1010.2   102.4    0.13     0.330        0.813
00:02:05   DATA               Normal      Low        0.000    59.0     1004.9   81.3     1.07     0.332        0.799
00:02:06   DATA               Normal      Low        0.000    59.0     1004.9   81.3     1.07     0.332        0.799
00:02:08   DATA               Normal      Low        0.000    58.3     1001.1   79.8     1.33     0.222        0.799
00:02:09   DATA               Normal      Low        0.062    58.2     993.9    60.0     0.59     0.252        0.801
00:02:10   DATA               Normal      Low        0.093    59.0     995.5    66.9     0.22     0.223        0.803
00:02:11   DATA               Normal      Low        0.117    60.8     988.4    79.4     0.10     0.225        0.808
00:02:12   DATA               Normal      Low        0.117    60.8     988.4    79.4     0.10     0.225        0.808
00:02:13   DATA               Normal      Low        0.121    61.4     977.6    73.1     0.54     0.227        0.808
00:02:14   DATA               Normal      Low        0.137    61.6     974.5    56.3     0.08     0.228        0.808
00:02:15   DATA               Normal      Low        0.186    61.7     977.3    56.0     0.61     0.228        0.812
00:02:16   LEVEL Low>Medium   Normal      Medium     0.256    61.7     980.6    52.6     0.38     0.227        0.816
00:02:16   DATA               Normal      Medium     0.256    61.7     980.6    52.6     0.38     0.227        0.816
00:02:17   DATA               Normal      Medium     0.411    61.6     976.8    39.0     0.20     0.341        0.825
00:02:18   LEVEL Medium>High  Normal      High       0.663    60.9     981.9    35.1     2.95     0.340        0.840
00:02:18   DATA               Normal      High       0.663    60.9     981.9    35.1     2.95     0.340        0.840
00:02:19   DATA               Normal      High       0.784    60.6     978.4    23.7     0.59     0.341        0.846
00:02:20   DATA               Normal      High       0.889    60.6     979.7    23.2     3.07     0.113        0.855
00:02:21   DATA               Normal      High       0.934    60.8     985.8    27.0     0.44     0.113        0.864
00:02:22   DATA               Normal      High       0.972    61.1     980.8    29.1     0.36     0.113        0.870
00:02:23   DATA               Normal      High       0.994    61.2     973.7    30.3     0.11     0.114        0.869
00:02:24   DATA               Normal      High       0.815    61.2     959.0    69.1     0.10     0.209        0.869
00:02:25   DATA               Normal      High       0.721    61.5     962.5    50.1     0.28     0.208        0.868
00:02:26   DATA               Normal      High       0.639    62.1     954.8    47.2     0.19     0.210        0.864
00:02:27   DATA               Normal      High       0.571    62.8     957.3    44.4     0.05     0.209        0.861
00:02:28   DATA               Normal      High       0.502    63.0     955.2    45.8     0.02     0.209        0.863
00:02:29   DATA               Normal      High       0.627    62.9     954.9    41.0     0.18     0.210        0.862
00:02:30   DATA               Normal      High       0.679    62.8     954.6    38.5     0.56     0.210        0.859
00:02:31   DATA               Normal      High       0.691    62.9     966.4    44.6     2.34     0.345        0.859
