==============================================
  Session: Session 01
  Started: 2026-05-11 12:31:41
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        88.6     679.2    49.4     1.31     0.192        0.821
00:02:01   DATA               Normal      Low        0.000    91.7     651.4    56.1     0.13     0.110        0.884
00:02:02   DATA               Normal      Low        0.000    91.9     650.8    63.6     0.32     0.205        0.882
00:02:03   DATA               Normal      Low        0.000    92.2     652.9    70.2     0.56     0.219        0.884
00:02:04   DATA               Normal      Low        0.000    92.4     666.7    84.6     3.34     0.231        0.866
00:02:05   DATA               Normal      Low        0.000    92.2     664.6    87.7     0.29     0.232        0.844
00:02:06   DATA               Normal      Low        0.000    91.2     675.9    89.9     0.58     0.228        0.820
00:02:07   DATA               Normal      Low        0.000    88.4     682.3    88.3     0.74     0.210        0.798
00:02:08   DATA               Normal      Low        0.000    85.2     686.0    86.7     0.45     0.337        0.772
00:02:09   DATA               Normal      Low        0.000    83.7     679.4    80.6     1.64     0.105        0.758
00:02:10   DATA               Normal      Low        0.000    85.3     687.3    71.5     0.85     0.448        0.758
00:02:11   DATA               Normal      Low        0.000    87.0     679.9    53.1     2.26     0.421        0.756
00:02:12   DATA               Normal      Low        0.000    88.7     667.9    56.8     2.75     0.321        0.763
00:02:13   DATA               Normal      Low        0.000    90.7     663.9    54.3     0.84     0.323        0.769
00:02:14   DATA               Normal      Low        0.000    92.2     666.4    55.4     1.83     0.322        0.783
00:02:16   DATA               Normal      Low        0.000    92.2     666.4    55.4     1.83     0.322        0.783
00:02:17   DATA               Normal      Low        0.000    93.2     652.2    55.7     0.20     0.118        0.794
00:02:18   DATA               Normal      Low        0.000    92.9     657.8    60.9     1.66     0.109        0.807
00:02:19   DATA               Normal      Low        0.000    91.3     654.8    60.0     0.33     0.218        0.812
00:02:20   DATA               Normal      Low        0.000    89.9     656.9    63.3     0.06     0.218        0.818
00:02:21   DATA               Normal      Low        0.000    89.3     666.4    64.6     0.89     0.215        0.822
00:02:22   DATA               Normal      Low        0.000    89.4     661.4    65.1     1.25     0.116        0.821
00:02:23   DATA               Normal      Low        0.000    89.5     677.9    64.1     5.02     0.211        0.826
00:02:24   DATA               Normal      Low        0.000    88.9     676.0    58.1     4.37     0.106        0.828
00:02:25   DATA               Normal      Low        0.000    88.3     663.5    55.7     3.08     0.232        0.821
00:02:26   DATA               Normal      Low        0.000    88.1     678.3    55.6     1.38     0.246        0.804
00:02:27   DATA               Normal      Low        0.000    88.5     661.3    59.4     2.26     0.275        0.782
00:02:28   DATA               Normal      Low        0.000    89.2     653.5    71.8     3.41     0.139        0.749
00:02:29   DATA               Normal      Low        0.000    89.8     637.5    72.0     2.79     0.285        0.708
00:02:30   DATA               Normal      Low        0.023    90.5     640.2    47.6     0.68     0.284        0.671
00:02:31   DATA               Normal      Low        0.164    91.4     636.1    38.9     0.25     0.262        0.651
00:02:32   DATA               Normal      Low        0.168    92.3     637.5    49.1     0.26     0.285        0.640
00:02:33   DATA               Normal      Low        0.168    93.0     636.9    64.6     0.10     0.262        0.625
