==============================================
  Session: Session 01
  Started: 2026-05-12 15:19:11
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        69.1     877.1    63.3     1.31     0.221        0.809
00:02:01   DATA               Normal      High       0.869    67.4     889.6    36.2     0.17     0.225        0.867
00:02:02   DATA               Normal      High       0.889    67.6     888.8    35.0     0.02     0.338        0.873
00:02:04   DATA               Normal      High       0.880    67.7     880.6    36.4     0.03     0.310        0.872
00:02:05   DATA               Normal      High       0.705    67.7     887.6    57.7     0.24     0.113        0.861
00:02:06   DATA               Normal      High       0.564    67.8     892.6    81.5     1.08     0.112        0.850
00:02:07   LEVEL High>Medium  Normal      Medium     0.390    68.0     905.8    76.3     0.07     0.221        0.827
00:02:07   DATA               Normal      Medium     0.390    68.0     905.8    76.3     0.07     0.221        0.827
00:02:08   LEVEL Medium>Low   Normal      Low        0.209    67.9     912.3    81.7     0.83     0.219        0.807
00:02:08   DATA               Normal      Low        0.209    67.9     912.3    81.7     0.83     0.219        0.807
00:02:09   DATA               Normal      Low        0.036    66.6     913.0    78.1     0.45     0.219        0.789
00:02:10   DATA               Normal      Low        0.000    64.8     916.7    78.5     0.58     0.218        0.782
00:02:11   DATA               Normal      Low        0.000    63.3     895.2    82.3     1.49     0.224        0.778
00:02:12   DATA               Normal      Low        0.000    63.2     900.3    83.4     10.17    0.111        0.772
00:02:13   DATA               Normal      Low        0.021    64.4     902.4    60.0     5.42     0.111        0.766
00:02:14   DATA               Normal      Low        0.072    66.4     880.5    55.4     2.88     0.227        0.760
00:02:15   DATA               Normal      Low        0.144    68.6     870.5    52.2     2.11     0.230        0.758
00:02:16   DATA               Normal      Low        0.161    70.5     843.0    60.7     0.79     0.108        0.761
00:02:17   LEVEL Low>Medium   Normal      Medium     0.288    71.9     833.0    43.5     2.61     0.109        0.777
00:02:17   DATA               Normal      Medium     0.288    71.9     833.0    43.5     2.61     0.109        0.777
00:02:18   DATA               Normal      Medium     0.385    72.7     824.0    44.9     1.22     0.110        0.798
00:02:19   LEVEL Medium>High  Normal      High       0.534    73.4     803.8    31.3     1.68     0.415        0.818
00:02:19   DATA               Normal      High       0.534    73.4     803.8    31.3     1.68     0.415        0.818
00:02:20   DATA               Normal      High       0.644    74.2     792.9    35.1     2.01     0.210        0.835
00:02:21   DATA               Normal      High       0.821    75.1     791.4    33.0     1.15     0.230        0.847
00:02:22   DATA               Normal      High       0.843    76.3     780.8    40.1     0.60     0.214        0.855
00:02:23   DATA               Normal      High       0.918    77.3     761.9    33.1     2.15     0.438        0.858
00:02:24   DATA               Normal      High       0.827    77.9     774.8    46.4     0.21     0.235        0.866
00:02:25   DATA               Normal      High       0.839    78.0     761.9    33.1     2.15     0.438        0.872
00:02:26   DATA               Normal      High       0.772    77.9     770.2    43.6     1.59     0.108        0.876
00:02:27   DATA               Normal      High       0.754    77.8     774.4    42.9     0.70     0.108        0.878
00:02:28   DATA               Normal      High       0.673    77.8     766.7    45.7     1.21     0.237        0.880
00:02:29   DATA               Normal      High       0.691    77.4     778.9    43.6     0.78     0.214        0.879
