==============================================
  Session: Session 03
  Started: 2026-04-06 12:51:10
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:01:59   BASELINE END       –          –        71.5     841.3    62.7     0.25     0.216        0.863 
00:02:00   DATA               Low        0.000    71.5     841.3    62.7     0.25     0.216        0.863 
00:02:01   DATA               Low        0.140    72.2     850.5    60.0     0.55     0.214        0.851 
00:02:01   LEVEL Low→Medium   Medium     0.431    72.4     849.6    68.8     4.66     0.236        0.861 
00:02:02   DATA               Medium     0.431    72.4     849.6    68.8     4.66     0.236        0.861 
00:02:03   LEVEL Medium→Low   Low        0.150    71.6     837.5    68.4     0.63     0.217        0.852 
00:02:03   DATA               Low        0.150    71.6     837.5    68.4     0.63     0.217        0.852 
00:02:04   DATA               Low        0.198    70.3     853.3    54.0     0.83     0.234        0.841 
00:02:05   DATA               Low        0.301    68.9     853.6    38.2     1.21     0.130        0.816 
00:02:06   DATA               Low        0.327    68.3     857.8    37.8     1.40     0.146        0.792 
00:02:07   LEVEL Low→Medium   Medium     0.387    68.1     845.7    45.5     1.79     0.148        0.747 
00:02:07   DATA               Medium     0.387    68.1     845.7    45.5     1.79     0.148        0.747 
00:02:08   DATA               Medium     0.352    66.2     803.3    31.8     0.93     0.156        0.577 
00:02:09   LEVEL Medium→Low   Low        0.294    64.4     792.6    79.8     1.17     0.140        0.531 
00:02:09   DATA               Low        0.294    64.4     792.6    79.8     1.17     0.140        0.531 
00:02:11   DATA               Low        0.278    82.2     760.8    83.1     0.76     0.146        0.513 
00:02:12   DATA               Low        0.216    83.2     738.9    79.0     0.16     0.271        0.504 
00:02:13   DATA               Low        0.316    83.6     699.8    74.8     0.41     0.286        0.556 
00:02:14   DATA               Low        0.248    84.0     710.6    84.4     0.09     0.217        0.697 
00:02:15   DATA               Low        0.244    84.8     711.7    86.8     0.07     0.216        0.731 
00:02:16   DATA               Low        0.280    85.5     712.5    74.4     0.31     0.234        0.760 
00:02:17   DATA               Low        0.296    86.0     719.0    71.4     0.44     0.214        0.760 
00:02:17   LEVEL Low→Medium   Medium     0.437    85.4     730.3    71.6     1.44     0.114        0.793 
00:02:18   DATA               Medium     0.437    85.4     730.3    71.6     1.44     0.114        0.793 
00:02:19   DATA               Medium     0.508    83.2     723.6    73.0     1.84     0.106        0.794 
00:02:20   DATA               Medium     0.586    80.4     719.2    76.8     2.29     0.107        0.751 
00:02:21   DATA               Medium     0.597    79.2     735.0    77.3     3.69     0.247        0.771 
00:02:22   DATA               Medium     0.371    79.5     745.0    62.2     1.01     0.298        0.791 
00:02:22   LEVEL Medium→Low   Low        0.327    82.1     729.8    60.0     0.54     0.343        0.721 
00:02:23   DATA               Low        0.327    82.1     729.8    60.0     0.54     0.343        0.721 
00:02:23   LEVEL Low→Medium   Medium     0.349    85.2     772.9    67.1     1.23     0.324        0.623 
00:02:24   DATA               Medium     0.349    85.2     772.9    67.1     1.23     0.324        0.623 
00:02:24   LEVEL Medium→Low   Low        0.236    86.0     0.0      0.0      0.00     0.000        0.488 
