==============================================
  Session: Session 01
  Started: 2026-05-12 12:33:40
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:02:00   BASELINE END       Normal      –          –        70.6     833.6    73.1     1.58     0.218        0.766
00:02:01   DATA               Normal      Low        0.220    72.4     830.7    67.4     1.08     0.329        0.829
00:02:02   LEVEL Low>Medium   Normal      Medium     0.310    71.6     827.5    62.8     0.71     0.330        0.828
00:02:02   DATA               Normal      Medium     0.310    71.6     827.5    62.8     0.71     0.330        0.828
00:02:03   LEVEL Medium>High  Normal      High       0.540    71.2     820.7    43.3     0.27     0.332        0.834
00:02:03   DATA               Normal      High       0.540    71.2     820.7    43.3     0.27     0.332        0.834
00:02:04   DATA               Normal      High       0.587    71.6     818.5    54.4     2.29     0.204        0.841
00:02:05   DATA               Normal      High       0.669    72.5     815.8    33.4     1.02     0.111        0.846
00:02:06   DATA               Normal      High       0.741    73.4     826.2    58.2     1.12     0.110        0.841
00:02:07   DATA               Normal      High       0.674    74.1     822.3    71.4     2.62     0.221        0.842
00:02:08   LEVEL High>Medium  Normal      Medium     0.329    73.5     803.2    74.0     0.19     0.226        0.827
00:02:08   DATA               Normal      Medium     0.329    73.5     803.2    74.0     0.19     0.226        0.827
00:02:09   LEVEL Medium>Low   Normal      Low        0.129    72.8     802.4    77.4     0.16     0.340        0.816
00:02:09   DATA               Normal      Low        0.129    72.8     802.4    77.4     0.16     0.340        0.816
00:02:10   DATA               Normal      Low        0.013    72.5     801.7    75.3     0.91     0.113        0.810
00:02:11   DATA               Normal      Low        0.000    73.1     793.9    76.3     1.65     0.105        0.802
00:02:12   DATA               Normal      Low        0.000    75.0     787.9    75.9     2.51     0.115        0.795
00:02:13   DATA               Normal      Low        0.133    76.9     780.0    56.0     4.27     0.214        0.787
00:02:14   LEVEL Low>Medium   Normal      Medium     0.333    78.1     771.6    40.1     0.25     0.324        0.795
00:02:14   DATA               Normal      Medium     0.333    78.1     771.6    40.1     0.25     0.324        0.795
00:02:15   LEVEL Medium>High  Normal      High       0.533    78.8     767.7    36.6     0.09     0.326        0.807
00:02:15   DATA               Normal      High       0.533    78.8     767.7    36.6     0.09     0.326        0.807
00:02:16   DATA               Normal      High       0.691    79.2     755.3    52.8     3.15     0.306        0.826
00:02:17   DATA               Normal      High       0.891    79.2     748.1    28.5     0.44     0.365        0.838
00:02:18   DATA               Normal      High       0.906    79.0     751.4    54.1     0.07     0.242        0.854
00:02:19   DATA               Normal      High       0.861    78.8     745.8    53.1     0.24     0.310        0.856
00:02:20   DATA               Normal      High       0.841    79.4     745.0    50.0     0.43     0.336        0.855
00:02:21   DATA               Normal      High       0.855    80.5     735.5    50.9     0.24     0.340        0.850
00:02:22   DATA               Normal      High       0.778    81.6     745.0    57.4     0.26     0.310        0.849
00:02:23   DATA               Normal      High       0.732    82.0     738.1    59.9     0.69     0.339        0.848
00:02:24   DATA               Normal      High       0.636    81.6     738.1    65.5     0.88     0.313        0.851
00:02:25   DATA               Normal      High       0.636    81.6     738.1    65.5     0.88     0.313        0.851
00:02:26   DATA               Normal      High       0.584    81.3     733.2    56.7     0.02     0.341        0.852
