==============================================
  Session: Session 01
  Started: 2026-04-27 13:22:05
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:03:58   BASELINE END       –          –        75.2     811.8    50.7     0.12     0.224        0.842 
00:03:59   DATA               Low        0.057    75.5     802.8    49.5     0.27     0.125        0.784 
00:04:00   DATA               Low        0.055    74.8     816.2    52.4     0.54     0.245        0.731 
00:04:01   DATA               Low        0.041    73.9     816.3    74.5     0.83     0.245        0.715 
00:04:02   DATA               Low        0.189    74.9     794.1    80.2     3.84     0.140        0.646 
00:04:03   DATA               Low        0.016    76.8     790.6    81.4     0.32     0.253        0.587 
00:04:05   DATA               Low        0.016    77.3     0.0      0.0      0.00     0.000        0.496 
00:04:06   DATA               Low        0.016    77.9     0.0      0.0      0.00     0.000        0.482 
00:04:07   DATA               Low        0.016    80.2     0.0      0.0      0.00     0.000        0.498 
00:04:08   DATA               Low        0.051    84.4     738.1    69.9     0.50     0.226        0.594 
00:04:09   DATA               Low        0.180    85.9     732.6    69.0     3.06     0.341        0.709 
00:04:10   DATA               Low        0.054    86.2     710.6    65.4     0.21     0.325        0.777 
00:04:11   DATA               Low        0.106    85.1     724.1    52.0     0.82     0.319        0.788 
00:04:12   DATA               Low        0.117    83.6     738.3    43.5     0.32     0.226        0.769 
00:04:13   DATA               Low        0.114    82.1     750.3    43.9     0.47     0.222        0.745 
00:04:14   DATA               Low        0.123    73.8     802.1    53.7     2.06     0.208        0.836 
00:04:15   DATA               Low        0.169    72.7     814.8    44.1     1.99     0.223        0.861 
00:04:16   DATA               Low        0.084    72.1     827.0    42.9     0.14     0.220        0.838 
00:04:17   DATA               Low        0.156    72.3     821.2    31.7     0.42     0.174        0.838 
00:04:18   DATA               Low        0.012    72.9     823.0    59.2     0.24     0.221        0.839 
00:04:19   DATA               Low        0.050    73.0     829.8    49.3     0.11     0.219        0.821 
00:04:20   DATA               Low        0.011    72.5     828.4    73.5     0.22     0.220        0.824 
00:04:21   DATA               Low        0.029    71.9     822.0    53.5     0.13     0.221        0.825 
00:04:22   DATA               Low        0.022    71.8     823.3    54.8     0.13     0.331        0.820 
00:04:23   DATA               Low        0.018    72.1     819.0    56.3     0.21     0.333        0.826 
00:04:24   DATA               Low        0.027    72.6     822.6    53.3     0.07     0.332        0.835 
00:04:25   DATA               Low        0.008    73.1     819.3    68.2     0.16     0.333        0.848 
00:04:26   DATA               Low        0.200    73.7     821.0    68.3     4.08     0.406        0.849 
00:04:27   DATA               Low        0.048    74.1     817.4    61.1     0.98     0.334        0.848 
00:04:28   DATA               Low        0.011    73.9     810.6    58.7     0.22     0.337        0.855 
00:04:29   DATA               Low        0.004    73.4     815.4    58.4     0.08     0.446        0.863 
00:04:30   DATA               Low        0.048    73.2     808.1    66.6     0.98     0.413        0.857 
00:04:31   DATA               Low        0.159    73.2     806.5    64.0     3.23     0.113        0.849 
00:04:32   DATA               Low        0.045    73.3     809.0    61.5     0.91     0.225        0.855 
00:04:33   DATA               Low        0.055    73.7     799.0    48.9     0.18     0.313        0.863 
