==============================================
  Session: Session 04
  Started: 2026-04-06 14:10:44
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:01:59   BASELINE END       –          –        75.1     804.9    42.6     1.07     0.339        0.774 
00:02:00   DATA               Low        0.067    77.7     785.7    44.7     1.89     0.232        0.781 
00:02:01   DATA               Low        0.150    78.8     802.4    46.1     2.71     0.104        0.800 
00:02:02   DATA               Low        0.194    77.9     796.6    48.3     1.33     0.114        0.805 
00:02:03   DATA               Low        0.230    75.6     800.4    37.9     0.84     0.227        0.797 
00:02:05   DATA               Low        0.274    72.9     791.7    40.2     1.07     0.230        0.790 
00:02:06   DATA               Low        0.250    71.6     785.4    54.1     1.23     0.212        0.739 
00:02:07   DATA               Low        0.217    71.8     777.1    55.4     1.39     0.215        0.692 
00:02:08   DATA               Low        0.240    73.3     780.2    72.2     1.95     0.233        0.652 
00:02:09   DATA               Low        0.243    77.2     759.0    63.7     0.79     0.132        0.609 
00:02:10   DATA               Low        0.239    82.6     749.1    54.9     0.71     0.148        0.596 
00:02:11   DATA               Low        0.226    85.6     764.7    96.2     0.58     0.131        0.573 
00:02:12   DATA               Low        0.201    85.5     760.9    110.6    0.39     0.132        0.547 
00:02:13   DATA               Low        0.173    82.6     737.1    118.1    0.52     0.136        0.536 
00:02:14   DATA               Low        0.174    77.5     748.1    115.2    0.70     0.149        0.511 
00:02:15   DATA               Low        0.189    74.2     749.8    126.1    1.21     0.167        0.541 
00:02:16   DATA               Low        0.214    73.8     746.1    99.4     1.21     0.134        0.514 
00:02:17   DATA               Low        0.275    77.1     756.0    105.5    2.37     0.132        0.551 
00:02:18   DATA               Low        0.329    83.2     766.9    82.7     2.87     0.119        0.529 
00:02:18   LEVEL Low→Medium   Medium     0.366    86.6     759.8    88.4     2.05     0.132        0.536 
00:02:19   DATA               Medium     0.366    86.6     759.8    88.4     2.05     0.132        0.536 
00:02:20   DATA               Medium     0.344    87.5     762.0    96.7     0.62     0.263        0.503 
00:02:20   LEVEL Medium→Low   Low        0.320    86.3     0.0      0.0      0.00     0.000        0.438 
00:02:21   DATA               Low        0.320    86.3     0.0      0.0      0.00     0.000        0.438 
00:02:22   DATA               Low        0.253    82.0     0.0      0.0      0.00     0.000        0.421 
00:02:23   DATA               Low        0.160    70.8     0.0      0.0      0.00     0.000        0.434 
00:02:24   DATA               Low        0.164    67.5     838.3    105.5    4.18     0.217        0.534 
00:02:25   DATA               Low        0.211    65.0     879.6    109.2    3.31     0.227        0.687 
00:02:26   DATA               Low        0.188    63.7     874.6    102.9    0.28     0.229        0.691 
00:02:27   DATA               Low        0.183    64.1     880.6    87.8     0.48     0.253        0.639 
00:02:28   DATA               Low        0.261    65.6     870.3    96.7     2.61     0.128        0.648 
00:02:29   DATA               Low        0.222    68.0     852.8    64.4     1.37     0.235        0.668 
00:02:30   DATA               Low        0.155    71.7     836.2    51.0     0.43     0.239        0.723 
00:02:31   DATA               Low        0.193    74.3     828.8    48.5     1.50     0.241        0.734 
00:02:32   DATA               Low        0.217    75.1     823.5    55.6     1.28     0.135        0.765 
