==============================================
  Session: Session 02
  Started: 2026-05-07 15:01:48
==============================================

Time       Event              Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:01:59   BASELINE END       –          –        72.7     819.0    60.7     1.22     0.233        0.760
00:02:00   DATA               Low        0.174    79.1     787.6    54.6     0.96     0.116        0.710
00:02:01   DATA               Low        0.240    77.5     787.7    50.1     2.94     0.115        0.734
00:02:02   LEVEL Low>Medium   Medium     0.293    75.6     793.4    46.8     2.86     0.210        0.757
00:02:02   DATA               Medium     0.293    75.6     793.4    46.8     2.86     0.210        0.757
00:02:03   DATA               Medium     0.350    74.0     808.9    42.5     1.06     0.225        0.778
00:02:04   DATA               Medium     0.376    72.6     781.3    44.1     0.84     0.233        0.777
00:02:06   DATA               Medium     0.376    72.1     783.5    54.5     1.04     0.232        0.765
00:02:07   DATA               Medium     0.328    72.7     774.3    58.4     0.71     0.129        0.752
00:02:08   LEVEL Medium>Low   Low        0.248    76.0     782.6    68.9     1.00     0.233        0.736
00:02:08   DATA               Low        0.248    76.0     782.6    68.9     1.00     0.233        0.736
00:02:09   DATA               Low        0.143    80.5     778.5    62.6     0.33     0.117        0.712
00:02:10   DATA               Low        0.089    81.9     780.6    53.5     1.62     0.117        0.706
00:02:11   DATA               Low        0.062    80.8     751.6    59.2     1.08     0.121        0.715
00:02:12   DATA               Low        0.116    77.7     754.1    49.0     1.81     0.121        0.723
00:02:13   DATA               Low        0.195    75.5     755.6    47.0     2.01     0.110        0.735
00:02:14   LEVEL Low>Medium   Medium     0.340    75.2     774.6    35.4     0.94     0.108        0.760
00:02:14   DATA               Medium     0.340    75.2     774.6    35.4     0.94     0.108        0.760
00:02:15   DATA               Medium     0.452    76.6     777.7    34.1     0.99     0.107        0.787
00:02:16   LEVEL Medium>High  High       0.544    78.3     782.6    43.2     1.62     0.213        0.804
00:02:16   DATA               High       0.544    78.3     782.6    43.2     1.62     0.213        0.804
00:02:17   DATA               High       0.543    79.1     792.1    49.2     1.13     0.115        0.813
00:02:18   DATA               High       0.510    78.6     797.6    52.7     4.18     0.114        0.813
00:02:19   LEVEL High>Medium  Medium     0.417    77.0     802.0    51.7     3.41     0.104        0.800
00:02:19   DATA               Medium     0.417    77.0     802.0    51.7     3.41     0.104        0.800
00:02:20   DATA               Medium     0.318    74.1     814.6    51.2     1.83     0.112        0.789
00:02:21   DATA               Medium     0.277    71.1     820.8    50.4     1.82     0.111        0.781
00:02:22   DATA               Medium     0.254    69.6     808.2    53.2     0.81     0.225        0.784
00:02:23   DATA               Medium     0.276    69.8     827.7    48.9     1.22     0.220        0.791
00:02:24   DATA               Medium     0.305    71.3     822.6    46.6     2.81     0.111        0.795
00:02:25   DATA               Medium     0.350    73.0     826.7    43.4     6.51     0.220        0.796
00:02:25   BOSS ROOM ENTER                                                                         
00:02:26   BOSS DATA          Medium     0.365    74.3     799.4    47.9     2.19     0.358        0.802
00:02:27   BOSS DATA          Medium     0.412    75.1     796.1    44.9     0.94     0.105        0.810
00:02:28   BOSS DATA          Medium     0.424    75.5     785.6    46.9     0.97     0.463        0.818
