==============================================
  Session: Session 01
  Started: 2026-04-07 10:35:29
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:01:59   BASELINE END       –          –        70.2     0.0      0.0      0.00     0.000        0.321 
00:02:00   DATA               Low        0.000    69.6     0.0      0.0      0.00     0.000        0.341 
00:02:01   DATA               Low        0.000    69.6     0.0      0.0      0.00     0.000        0.341 
00:02:03   DATA               Low        0.000    69.6     0.0      0.0      0.00     0.000        0.341 
00:02:04   DATA               Low        0.000    69.6     0.0      0.0      0.00     0.000        0.341 
00:02:05   DATA               Low        0.035    83.8     0.0      0.0      0.00     0.000        0.353 
00:02:06   DATA               Low        0.077    86.1     0.0      0.0      0.00     0.000        0.491 
00:02:07   DATA               Low        0.097    73.5     822.5    72.2     0.35     0.174        0.602 
00:02:07   LEVEL Low→Medium   Medium     0.158    74.4     811.7    63.2     1.18     0.274        0.646 
00:02:08   DATA               Medium     0.188    72.6     840.2    60.3     0.59     0.357        0.677 
00:02:09   DATA               Medium     0.187    70.7     840.7    62.3     0.74     0.325        0.729 
00:02:10   DATA               Medium     0.229    69.0     847.7    62.4     2.04     0.322        0.757 
00:02:11   DATA               Medium     0.244    67.6     836.7    51.8     0.59     0.239        0.758 
00:02:12   DATA               Medium     0.244    67.6     836.7    51.8     0.59     0.239        0.758 
00:02:13   DATA               Medium     0.233    68.8     858.4    46.2     0.46     0.212        0.778 
00:02:14   DATA               Medium     0.242    70.7     849.9    59.9     0.97     0.214        0.765 
00:02:15   DATA               Medium     0.165    72.0     842.3    68.8     0.15     0.119        0.798 
00:02:16   DATA               Medium     0.165    72.0     842.3    68.8     0.15     0.119        0.798 
00:02:16   LEVEL Medium→Low   Low        0.135    72.2     850.9    78.6     0.15     0.118        0.765 
00:02:17   DATA               Low        0.110    72.0     838.6    82.0     0.51     0.217        0.792 
00:02:18   DATA               Low        0.088    71.5     839.2    79.2     0.22     0.217        0.793 
00:02:19   DATA               Low        0.088    71.5     839.2    79.2     0.22     0.217        0.793 
00:02:20   DATA               Low        0.049    70.5     839.0    86.4     0.11     0.325        0.783 
00:02:21   DATA               Low        0.055    69.7     834.8    81.1     0.25     0.327        0.786 
00:02:22   DATA               Low        0.102    71.2     811.3    78.8     1.15     0.112        0.724 
00:02:23   DATA               Low        0.102    71.2     811.3    78.8     1.15     0.112        0.724 
00:02:23   LEVEL Low→Medium   Medium     0.188    73.3     797.4    68.0     8.28     0.105        0.686 
00:02:24   DATA               Medium     0.188    73.3     797.4    68.0     8.28     0.105        0.686 
00:02:25   DATA               Medium     0.292    74.9     769.5    57.7     2.72     0.118        0.743 
00:02:26   DATA               Medium     0.485    79.8     753.1    64.4     2.94     0.266        0.704 
00:02:27   DATA               Medium     0.485    82.3     765.7    54.6     0.56     0.145        0.610 
00:02:28   DATA               Medium     0.422    82.9     0.0      0.0      0.00     0.000        0.478 
00:02:29   DATA               Medium     0.343    82.0     0.0      0.0      0.00     0.000        0.357 
00:02:30   DATA               Medium     0.253    79.7     0.0      0.0      0.00     0.000        0.319 
