==============================================
  Session: Session 02
  Started: 2026-04-28 10:45:18
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:04:27   BASELINE END       –          –        76.7     772.1    42.3     0.89     0.108        0.861 
00:04:28   DATA               Low        0.145    78.1     769.3    43.8     1.14     0.108        0.862 
00:04:29   LEVEL Low>Medium   Medium     0.233    78.9     754.6    44.7     2.95     0.379        0.867 
00:04:29   DATA               Medium     0.233    78.9     754.6    44.7     2.95     0.379        0.867 
00:04:30   LEVEL Medium>Low   Low        0.095    79.3     774.5    44.4     0.19     0.215        0.841 
00:04:30   DATA               Low        0.095    79.3     774.5    44.4     0.19     0.215        0.841 
00:04:31   LEVEL Low>Medium   Medium     0.229    79.2     780.6    49.1     3.69     0.320        0.815 
00:04:31   DATA               Medium     0.229    79.2     780.6    49.1     3.69     0.320        0.815 
00:04:32   DATA               Medium     0.181    78.5     790.5    57.2     3.60     0.345        0.808 
00:04:33   LEVEL Medium>Low   Low        0.104    76.7     791.3    51.8     1.35     0.115        0.810 
00:04:33   DATA               Low        0.104    76.7     791.3    51.8     1.35     0.115        0.810 
00:04:34   DATA               Low        0.089    74.4     806.1    50.7     0.88     0.339        0.833 
00:04:35   DATA               Low        0.041    72.5     812.2    56.2     0.46     0.274        0.809 
00:04:36   DATA               Low        0.054    72.0     847.2    53.2     0.40     0.236        0.748 
00:04:37   DATA               Low        0.052    72.5     823.6    50.6     0.09     0.270        0.689 
00:04:38   DATA               Low        0.117    73.2     782.5    59.7     2.44     0.284        0.578 
00:04:39   DATA               Low        0.098    72.1     774.2    60.8     1.97     0.144        0.556 
00:04:40   LEVEL Low>Medium   Medium     0.171    71.2     753.4    39.0     0.97     0.133        0.636 
00:04:40   DATA               Medium     0.171    71.2     753.4    39.0     0.97     0.133        0.636 
00:04:41   LEVEL Medium>Low   Low        0.127    89.4     740.9    46.1     0.60     0.135        0.684 
00:04:41   DATA               Low        0.127    89.4     740.9    46.1     0.60     0.135        0.684 
00:04:42   LEVEL Low>Medium   Medium     0.176    89.5     725.2    38.1     0.59     0.251        0.740 
00:04:42   DATA               Medium     0.176    89.5     725.2    38.1     0.59     0.251        0.740 
00:04:44   DATA               Medium     0.238    87.0     700.6    35.2     1.28     0.286        0.849 
00:04:45   DATA               Medium     0.269    85.8     696.7    34.3     1.81     0.239        0.874 
00:04:46   DATA               Medium     0.268    85.2     697.0    36.6     2.03     0.221        0.910 
00:04:47   DATA               Medium     0.211    85.0     699.9    45.3     1.78     0.220        0.896 
00:04:48   DATA               Medium     0.240    85.4     710.7    43.1     2.34     0.217        0.875 
00:04:48   LEVEL Medium>Low   Low        0.135    85.9     724.6    47.2     0.69     0.212        0.813 
00:04:49   DATA               Low        0.135    85.9     724.6    47.2     0.69     0.212        0.813 
00:04:50   DATA               Low        0.127    85.7     738.5    52.5     1.26     0.339        0.738 
00:04:51   DATA               Low        0.133    84.4     756.9    54.8     1.90     0.330        0.655 
00:04:52   DATA               Low        0.127    81.5     790.7    59.1     2.63     0.345        0.541 
