==============================================
  Session: Session 02
  Started: 2026-05-11 15:30:21
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        72.1     839.9    67.9     1.03     0.239        0.782
00:02:01   DATA               Normal      Low        0.000    75.4     811.2    75.5     0.54     0.274        0.702
00:02:02   DATA               Normal      Low        0.000    79.1     819.1    81.1     0.51     0.271        0.650
00:02:03   DATA               Normal      Low        0.000    79.1     819.1    81.1     0.51     0.271        0.650
00:02:04   DATA               Normal      Low        0.000    78.1     823.5    107.2    0.47     0.270        0.624
00:02:05   DATA               Normal      Low        0.000    76.0     815.6    103.5    0.90     0.273        0.606
00:02:06   DATA               Normal      Low        0.000    76.0     815.6    103.5    0.90     0.273        0.606
00:02:07   DATA               Normal      Low        0.000    76.0     815.6    103.5    0.90     0.273        0.606
00:02:08   DATA               Normal      Low        0.000    70.3     797.2    81.6     0.52     0.209        0.618
00:02:09   DATA               Normal      Low        0.000    70.3     797.2    81.6     0.52     0.209        0.618
00:02:10   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:11   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:12   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:13   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:14   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:15   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:16   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:17   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:18   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:19   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:20   DATA               Normal      Low        0.057    72.7     761.3    61.2     2.98     0.219        0.609
00:02:21   DATA               Normal      Low        0.057    76.9     736.9    81.9     1.18     0.226        0.615
00:02:22   DATA               Normal      Low        0.057    76.5     744.9    75.9     1.79     0.310        0.653
00:02:23   DATA               Normal      Low        0.057    78.1     774.0    73.5     1.24     0.215        0.690
00:02:24   DATA               Normal      Low        0.057    80.1     783.0    73.1     3.83     0.213        0.708
00:02:25   DATA               Normal      Low        0.000    79.7     794.6    83.8     4.30     0.105        0.718
00:02:26   DATA               Normal      Low        0.005    76.3     793.7    67.2     2.54     0.105        0.720
00:02:27   DATA               Normal      Low        0.074    71.6     799.6    59.7     1.95     0.114        0.710
00:02:28   DATA               Normal      Low        0.175    69.9     816.3    55.9     0.90     0.111        0.703
00:02:30   DATA               Normal      Low        0.248    70.7     820.9    59.2     0.51     0.222        0.714
00:02:31   LEVEL Low>Medium   Normal      Medium     0.385    72.6     820.6    51.6     0.40     0.222        0.728
00:02:31   DATA               Normal      Medium     0.385    72.6     820.6    51.6     0.40     0.222        0.728
00:02:32   LEVEL Medium>High  Normal      High       0.534    74.2     805.7    49.5     0.12     0.207        0.739
