==============================================
  Session: Session 02
  Started: 2026-05-11 11:50:51
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        66.9     901.9    87.7     1.62     0.197        0.718
00:02:01   DATA               Normal      Medium     0.437    63.9     924.9    72.7     0.41     0.433        0.808
00:02:02   DATA               Normal      Medium     0.404    63.3     903.5    75.0     0.32     0.111        0.812
00:02:03   DATA               Normal      Medium     0.280    63.5     896.3    86.5     4.13     0.248        0.805
00:02:04   DATA               Normal      Medium     0.273    65.0     919.1    79.1     1.74     0.218        0.786
00:02:05   DATA               Normal      Medium     0.267    67.1     928.8    79.4     0.22     0.120        0.769
00:02:06   DATA               Normal      Medium     0.289    68.3     934.6    68.9     1.13     0.119        0.758
00:02:07   DATA               Normal      Medium     0.350    67.9     931.3    64.4     0.48     0.239        0.752
00:02:08   DATA               Normal      Medium     0.420    65.3     915.8    74.5     0.44     0.137        0.743
00:02:09   LEVEL Medium>High  Normal      High       0.558    63.2     919.8    55.3     1.21     0.242        0.744
00:02:09   DATA               Normal      High       0.558    63.2     919.8    55.3     1.21     0.242        0.744
00:02:10   DATA               Normal      High       0.558    62.4     888.8    79.3     4.28     0.102        0.742
00:02:11   LEVEL High>Medium  Normal      Medium     0.481    63.1     905.9    82.2     2.30     0.110        0.742
00:02:11   DATA               Normal      Medium     0.481    63.1     905.9    82.2     2.30     0.110        0.742
00:02:12   DATA               Normal      Medium     0.485    65.2     907.4    63.7     1.19     0.221        0.738
00:02:13   LEVEL Medium>High  Normal      High       0.511    67.6     882.7    70.1     1.56     0.189        0.737
00:02:13   DATA               Normal      High       0.511    67.6     882.7    70.1     1.56     0.189        0.737
00:02:14   LEVEL High>Medium  Normal      Medium     0.322    68.9     895.6    91.6     0.25     0.223        0.740
00:02:14   DATA               Normal      Medium     0.322    68.9     895.6    91.6     0.25     0.223        0.740
00:02:15   DATA               Normal      Medium     0.274    69.1     880.0    93.1     2.08     0.341        0.746
00:02:16   LEVEL Medium>Low   Normal      Low        0.121    67.2     889.1    98.1     0.37     0.338        0.754
00:02:16   DATA               Normal      Low        0.121    67.2     889.1    98.1     0.37     0.338        0.754
00:02:17   DATA               Normal      Low        0.019    66.9     875.8    99.3     0.26     0.343        0.757
00:02:19   DATA               Normal      Low        0.019    67.0     894.9    93.6     0.74     0.335        0.760
00:02:20   DATA               Normal      Low        0.019    66.7     870.8    100.1    1.35     0.128        0.739
00:02:21   DATA               Normal      Low        0.018    66.2     914.8    84.6     0.69     0.273        0.715
00:02:22   DATA               Normal      Low        0.134    66.3     871.9    67.7     0.46     0.287        0.687
00:02:23   DATA               Normal      Low        0.209    68.9     907.4    74.9     4.27     0.315        0.655
00:02:24   DATA               Normal      Low        0.209    68.9     907.4    74.9     4.27     0.315        0.655
00:02:25   LEVEL Low>Medium   Normal      Medium     0.302    72.5     875.1    71.6     1.98     0.191        0.605
00:02:25   DATA               Normal      Medium     0.302    72.5     875.1    71.6     1.98     0.191        0.605
00:02:26   DATA               Normal      Medium     0.302    72.5     875.1    71.6     1.98     0.191        0.605
