==============================================
  Session: Session 32
  Started: 2026-05-04 10:38:39
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:01:59   BASELINE END       –          –        80.0     753.4    50.8     3.97     0.216        0.756
00:02:00   DATA               Low        0.238    76.8     782.4    48.9     5.93     0.107        0.785
00:02:01   LEVEL Low>Medium   Medium     0.273    77.0     782.0    48.4     6.06     0.104        0.798
00:02:01   DATA               Medium     0.273    77.0     782.0    48.4     6.06     0.104        0.798
00:02:03   DATA               Medium     0.336    77.8     778.6    47.2     6.20     0.104        0.810
00:02:04   DATA               Medium     0.315    78.1     775.6    48.8     6.43     0.105        0.814
00:02:05   DATA               Medium     0.333    77.9     770.8    47.6     6.60     0.068        0.815
00:02:06   DATA               Medium     0.399    77.5     769.5    46.3     6.63     0.103        0.818
00:02:07   DATA               Medium     0.466    77.8     769.6    45.7     6.34     0.103        0.820
00:02:08   DATA               Medium     0.443    78.5     764.7    48.1     5.39     0.134        0.824
00:02:09   DATA               Medium     0.482    78.8     764.9    47.3     4.48     0.138        0.830
00:02:10   LEVEL Medium>High  High       0.557    79.4     760.8    44.7     4.05     0.138        0.835
00:02:10   DATA               High       0.557    79.4     760.8    44.7     4.05     0.138        0.835
00:02:11   DATA               High       0.614    79.9     751.6    44.0     2.83     0.140        0.833
00:02:12   DATA               High       0.681    79.7     742.9    43.1     2.17     0.173        0.832
00:02:13   DATA               High       0.770    79.5     735.6    44.6     1.93     0.174        0.833
00:02:14   DATA               High       0.837    80.3     732.5    44.6     1.31     0.171        0.835
00:02:15   DATA               High       0.873    81.9     731.6    43.3     1.07     0.171        0.837
00:02:16   DATA               High       0.808    83.5     729.1    46.6     0.79     0.206        0.839
00:02:17   DATA               High       0.784    82.5     733.3    44.1     0.73     0.205        0.833
00:02:18   DATA               High       0.719    81.5     734.7    47.1     0.75     0.204        0.825
00:02:19   DATA               High       0.563    81.7     737.4    51.1     0.88     0.209        0.815
00:02:20   LEVEL High>Medium  Medium     0.372    84.6     737.8    52.9     1.42     0.203        0.809
00:02:20   DATA               Medium     0.372    84.6     737.8    52.9     1.42     0.203        0.809
00:02:21   DATA               Medium     0.268    84.3     737.7    50.7     1.77     0.203        0.805
00:02:22   LEVEL Medium>Low   Low        0.097    81.4     734.6    51.5     2.47     0.175        0.807
00:02:22   DATA               Low        0.097    81.4     734.6    51.5     2.47     0.175        0.807
00:02:23   DATA               Low        0.003    82.8     725.9    51.3     6.39     0.168        0.804
00:02:24   DATA               Low        0.003    82.8     722.6    50.9     8.86     0.173        0.800
00:02:25   DATA               Low        0.000    83.1     719.2    51.5     10.74    0.174        0.799
00:02:26   DATA               Low        0.006    84.8     722.4    50.6     13.16    0.169        0.799
00:02:27   DATA               Low        0.009    85.5     722.4    50.7     15.68    0.173        0.805
00:02:28   DATA               Low        0.028    84.1     722.1    50.1     16.26    0.169        0.812
00:02:29   DATA               Low        0.028    82.9     724.2    51.1     15.49    0.168        0.813
00:02:30   DATA               Low        0.071    82.4     728.1    49.1     14.42    0.172        0.805
