==============================================
  Session: Session 05
  Started: 2026-03-26 10:40:34
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI   
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START    
00:01:59   BASELINE END       –          –        81.8     720.5    31.9     0.00     0.214        0.872 
00:02:00   DATA               Low        0.113    82.8     718.4    33.8     0.00     0.214        0.873 
00:02:01   DATA               Low        0.190    83.7     709.3    23.7     0.00     0.353        0.871 
00:02:02   DATA               Low        0.167    84.4     713.5    26.6     0.00     0.216        0.881 
00:02:03   DATA               Low        0.114    84.7     712.0    34.2     0.00     0.216        0.897 
00:02:04   DATA               Low        0.180    84.6     713.2    24.8     0.00     0.216        0.878 
00:02:05   DATA               Low        0.056    84.2     712.7    42.5     0.00     0.216        0.864 
00:02:06   DATA               Low        0.061    84.0     701.6    43.2     0.00     0.238        0.846 
00:02:07   DATA               Low        0.063    83.9     698.1    45.0     0.00     0.220        0.839 
00:02:08   DATA               Low        0.070    84.4     692.4    42.3     0.00     0.310        0.816 
00:02:10   DATA               Low        0.078    85.8     686.3    41.7     0.00     0.224        0.804 
00:02:11   DATA               Low        0.092    87.5     684.0    39.9     0.00     0.313        0.817 
00:02:12   DATA               Low        0.073    89.5     682.7    43.8     0.00     0.338        0.806 
00:02:13   DATA               Low        0.071    90.5     686.5    50.1     0.00     0.104        0.800 
00:02:14   DATA               Low        0.103    90.3     687.2    38.1     0.00     0.224        0.803 
00:02:15   DATA               Low        0.099    88.8     693.2    38.2     0.00     0.111        0.827 
00:02:16   DATA               Low        0.064    86.5     696.5    48.2     0.00     0.221        0.839 
00:02:17   DATA               Low        0.074    83.8     681.5    47.2     0.00     0.226        0.782 
00:02:18   DATA               Low        0.055    82.4     710.9    51.3     0.00     0.256        0.733 
00:02:19   DATA               Low        0.043    82.3     730.9    48.9     0.00     0.249        0.707 
00:02:20   DATA               Low        0.040    83.6     735.2    54.1     0.00     0.151        0.688 
00:02:21   DATA               Low        0.041    85.8     734.3    62.2     0.00     0.151        0.600 
00:02:21   LEVEL Low→High     High       0.800    86.1     0.0      0.0      0.00     0.000        0.496 
00:02:22   DATA               High       0.800    86.1     0.0      0.0      0.00     0.000        0.496 
00:02:23   DATA               High       0.800    85.5     0.0      0.0      0.00     0.000        0.399 
00:02:24   DATA               High       0.800    66.9     0.0      0.0      0.00     0.000        0.316 
00:02:25   DATA               High       0.800    66.2     0.0      0.0      0.00     0.000        0.308 
00:02:26   DATA               High       0.800    64.8     0.0      0.0      0.00     0.000        0.238 
00:02:27   DATA               High       0.800    63.2     0.0      0.0      0.00     0.000        0.300 
00:02:28   DATA               High       0.800    61.3     0.0      0.0      0.00     0.000        0.210 
00:02:29   DATA               High       0.800    103.9    0.0      0.0      0.00     0.000        0.204 
00:02:30   DATA               High       0.800    83.0     0.0      0.0      0.00     0.000        0.123 
00:02:31   DATA               High       0.800    84.1     0.0      0.0      0.00     0.000        0.176 
00:02:32   DATA               High       0.800    83.7     0.0      0.0      0.00     0.000        0.145 
00:02:33   DATA               High       0.800    80.7     0.0      0.0      0.00     0.000        0.307 
